stitch_id_flat,CHEMBL1641347,CHEMBL1641348,CHEMBL1780,CHEMBL1786,CHEMBL1790,CHEMBL1798,CHEMBL1801,CHEMBL1829,CHEMBL1839,CHEMBL1849,CHEMBL1861,CHEMBL1862,CHEMBL1865,CHEMBL1871,CHEMBL1872,CHEMBL1873,CHEMBL1874,CHEMBL1875,CHEMBL1876,CHEMBL1886,CHEMBL1893,CHEMBL1898,CHEMBL1899,CHEMBL1906,CHEMBL1908,CHEMBL1911,CHEMBL1913,CHEMBL1929,CHEMBL1935,CHEMBL1936,CHEMBL1937,CHEMBL1939,CHEMBL1941,CHEMBL1951,CHEMBL1952,CHEMBL1966,CHEMBL1973,CHEMBL1978,CHEMBL1980,CHEMBL1983,CHEMBL1994,CHEMBL1997,CHEMBL2011,CHEMBL2019,CHEMBL2023,CHEMBL203,CHEMBL2033,CHEMBL204,CHEMBL2041,CHEMBL2044,CHEMBL205,CHEMBL206,CHEMBL2068,CHEMBL2072,CHEMBL2073677,CHEMBL2093863,CHEMBL2093866,CHEMBL2093872,CHEMBL2094118,CHEMBL2094124,CHEMBL2094125,CHEMBL2094251,CHEMBL2094253,CHEMBL2094255,CHEMBL2094257,CHEMBL2094268,CHEMBL2095158,CHEMBL2095169,CHEMBL2095173,CHEMBL2095188,CHEMBL2095189,CHEMBL2095205,CHEMBL2095215,CHEMBL2095227,CHEMBL2095229,CHEMBL2096618,CHEMBL2096670,CHEMBL2096678,CHEMBL2096904,CHEMBL2096905,CHEMBL2096972,CHEMBL210,CHEMBL2107836,CHEMBL2109244,CHEMBL211,CHEMBL2111289,CHEMBL2111329,CHEMBL2111348,CHEMBL2111369,CHEMBL2111392,CHEMBL2111463,CHEMBL213,CHEMBL214,CHEMBL215,CHEMBL217,CHEMBL218,CHEMBL220,CHEMBL222,CHEMBL224,CHEMBL2243,CHEMBL225,CHEMBL227,CHEMBL228,CHEMBL230,CHEMBL231,CHEMBL2311221,CHEMBL2311222,CHEMBL2311224,CHEMBL2311225,CHEMBL2321613,CHEMBL2321614,CHEMBL2321615,CHEMBL233,CHEMBL2331041,CHEMBL2331042,CHEMBL2331043,CHEMBL2331075,CHEMBL235,CHEMBL2362985,CHEMBL2362988,CHEMBL2362992,CHEMBL2362993,CHEMBL2362994,CHEMBL2362995,CHEMBL2362996,CHEMBL2362997,CHEMBL2363032,CHEMBL2363033,CHEMBL2363041,CHEMBL2363043,CHEMBL2363044,CHEMBL2363049,CHEMBL2363052,CHEMBL2363053,CHEMBL2363058,CHEMBL2363063,CHEMBL2363066,CHEMBL2363069,CHEMBL2363070,CHEMBL2363074,CHEMBL2363076,CHEMBL2363079,CHEMBL2363080,CHEMBL2363965,CHEMBL2364026,CHEMBL2364027,CHEMBL2364041,CHEMBL2364184,CHEMBL2364668,CHEMBL2364669,CHEMBL2364678,CHEMBL2364680,CHEMBL2364682,CHEMBL2364683,CHEMBL2364696,CHEMBL2364704,CHEMBL2364705,CHEMBL2366039,CHEMBL2366045,CHEMBL2366048,CHEMBL2366381,CHEMBL238,CHEMBL239,CHEMBL240,CHEMBL241,CHEMBL244,CHEMBL245,CHEMBL247,CHEMBL261,CHEMBL264,CHEMBL267,CHEMBL2755,CHEMBL2815,CHEMBL3194,CHEMBL3234,CHEMBL3242,CHEMBL325,CHEMBL3307222,CHEMBL3471,CHEMBL3559683,CHEMBL3650,CHEMBL3729,CHEMBL3833061,CHEMBL3905,CHEMBL3923,CHEMBL3961,CHEMBL4051,CHEMBL4128,CHEMBL4142,CHEMBL4223,CHEMBL4305,CHEMBL4601,CHEMBL4665,CHEMBL4770,CHEMBL4794,CHEMBL4956,CHEMBL5122,CHEMBL5145,CHEMBL5936,CHEMBL5971,CHEMBL6065,CHEMBL613897
CID100000564,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CID100000896,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CID100001046,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CID100001727,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CID100001775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CID100001983,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
CID100001986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CID100001990,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CID100002022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CID100002082,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
