stitch_id_flat,inchikey,chembl_id
CID100000085,PHIQHXFUZVPYII-UHFFFAOYSA-O,CHEMBL1620698
CID100000119,BTCSSZJGUNDROE-UHFFFAOYSA-N,CHEMBL96
CID100000137,ZGXJTSGNIOSYLO-UHFFFAOYSA-N,CHEMBL601
CID100000143,VVIAGPKUTFNRDU-UHFFFAOYSA-N,CHEMBL69905
CID100000146,ZNOVTXRBGFNYRX-UHFFFAOYSA-N,CHEMBL2358502
CID100000160,PXGPLTODNUVGFL-UHFFFAOYSA-N,CHEMBL2220614
CID100000187,OIPILFWXSMYKGL-UHFFFAOYSA-N,CHEMBL667
CID100000191,OIRDTQYFTABQOQ-UHFFFAOYSA-N,CHEMBL11909
CID100000222,QGZKDVFQNNGYKY-UHFFFAOYSA-N,CHEMBL1160819
CID100000244,WVDDGKGOMKODPV-UHFFFAOYSA-N,CHEMBL720
CID100000247,KWIUHFFTVRNATP-UHFFFAOYSA-N,CHEMBL1182
CID100000297,VNWKTOKETHGBQD-UHFFFAOYSA-N,CHEMBL17564
CID100000298,WIIZWVCIJKGZOK-UHFFFAOYSA-N,CHEMBL414400
CID100000305,OEYIOHPDSNJKLS-UHFFFAOYSA-N,CHEMBL920
CID100000311,KRKNYBCHXYNGOX-UHFFFAOYSA-N,CHEMBL1261
CID100000338,YGSDEFSMJLZEOE-UHFFFAOYSA-N,CHEMBL424
CID100000444,SNPPWIUOZRMYNY-UHFFFAOYSA-N,CHEMBL894
CID100000450,VOXZDWNPVJITMN-UHFFFAOYSA-N,CHEMBL412
CID100000564,SLXKOJJOQWFEFD-UHFFFAOYSA-N,CHEMBL1046
CID100000581,PWKSKIMOESPYIA-UHFFFAOYSA-N,CHEMBL145615
CID100000596,UHDGCWIWMRVCDJ-UHFFFAOYSA-N,CHEMBL78
CID100000598,ZNEWHQLOPFWXOF-UHFFFAOYSA-N,CHEMBL1098319
CID100000612,JVTAAEKCZFNVCJ-UHFFFAOYSA-N,CHEMBL1200559
CID100000679,IAZDPXIOMUYVGZ-UHFFFAOYSA-N,CHEMBL504
CID100000681,VYFYYTLLBUKUHU-UHFFFAOYSA-N,CHEMBL59
CID100000698,DNXHEGUUPJUMQT-UHFFFAOYSA-N,CHEMBL756
CID100000700,HZAXFHJVJLSVMW-UHFFFAOYSA-N,CHEMBL104943
CID100000727,JLYXXMFPNIAWKQ-UHFFFAOYSA-N,CHEMBL1200921
CID100000750,DHMQDGOQFOQNFH-UHFFFAOYSA-N,CHEMBL773
CID100000753,PEDCQBHIVMGVHV-UHFFFAOYSA-N,CHEMBL692
CID100000767,BVKZGUZCCUSVTD-UHFFFAOYSA-N,CHEMBL1161632
CID100000774,NTYJJOPFIAHURM-UHFFFAOYSA-N,CHEMBL90
CID100000785,QIGBRXMKCJKVMJ-UHFFFAOYSA-N,CHEMBL537
CID100000813,NPYPAHLBTDXSSS-UHFFFAOYSA-N,CHEMBL1233793
CID100000815,SBUJHOSQTJFQJX-UHFFFAOYSA-N,CHEMBL266589
CID100000838,UCTWMZQNUQWSLP-UHFFFAOYSA-N,CHEMBL1740
CID100000853,XUIIKFGFIJCVMT-UHFFFAOYSA-N,CHEMBL42115
CID100000861,AUYYCJSJGJYCDS-UHFFFAOYSA-N,CHEMBL789
CID100000896,DRLFMBDRBRZALE-UHFFFAOYSA-N,CHEMBL45
CID100000942,SNICXCGAKADSCV-UHFFFAOYSA-N,CHEMBL440464
CID100000948,GQPLMRYTRLFLPF-UHFFFAOYSA-N,CHEMBL1234579
CID100000951,SFLSHLFXELFNJZ-UHFFFAOYSA-N,CHEMBL432
CID100001046,IPEHBUMCGVEMRF-UHFFFAOYSA-N,CHEMBL614
CID100001054,LXNHXLLTXMVWPM-UHFFFAOYSA-N,CHEMBL1364
CID100001065,LOUPRKONTZGTKE-UHFFFAOYSA-N,CHEMBL15088
CID100001125,FNKQXYHWGSIFBK-UHFFFAOYSA-N,CHEMBL337765
CID100001130,JZRWCGZRTZMZEH-UHFFFAOYSA-N,CHEMBL1547
CID100001134,IQFYYKKMVGJFEH-UHFFFAOYSA-N,CHEMBL6497
CID100001206,MYWUZJCMWCOHBA-UHFFFAOYSA-N,CHEMBL508
CID100001301,CDBRNDSHEYLDJV-UHFFFAOYSA-M,CHEMBL1903819
CID100001546,PTOAARAWEBMLNO-UHFFFAOYSA-N,CHEMBL17639
CID100001727,NUKYPUAOHBNCPY-UHFFFAOYSA-N,CHEMBL284348
CID100001775,CXOFVDLJLONNDW-UHFFFAOYSA-N,CHEMBL16
CID100001805,NMUSYJAQQFHJEW-UHFFFAOYSA-N,CHEMBL301216
CID100001971,MCGSCOLBFJQGHM-UHFFFAOYSA-N,CHEMBL300576
CID100001972,APKFDSVGJQXUKY-UHFFFAOYSA-N,CHEMBL1700818
CID100001978,GOEMGAFJFRBGGG-UHFFFAOYSA-N,CHEMBL642
CID100001983,RZVAJINKPMORJF-UHFFFAOYSA-N,CHEMBL112
