stitch_id_flat,drug_name,n_neuro_pt,neurotoxic,pubchem_cid,smiles,inchikey
CID100000085,carnitine,2,1,85,C[N+](C)(C)CC(CC(=O)O)O,PHIQHXFUZVPYII-UHFFFAOYSA-O
CID100000119,gamma-aminobutyric,0,0,119,C(CC(=O)O)CN,BTCSSZJGUNDROE-UHFFFAOYSA-N
CID100000137,5-aminolevulinic,2,1,137,C(CC(=O)O)C(=O)CN,ZGXJTSGNIOSYLO-UHFFFAOYSA-N
CID100000143,leucovorin,5,1,143,C1C(N(C2=C(N1)NC(=NC2=O)N)C=O)CNC3=CC=C(C=C3)C(=O)NC(CCC(=O)O)C(=O)O,VVIAGPKUTFNRDU-UHFFFAOYSA-N
CID100000146,5-methyltetrahydrofolate,0,0,146,CN1C(CNC2=C1C(=O)N=C(N2)N)CNC3=CC=C(C=C3)C(=O)NC(CCC(=O)O)C(=O)O,ZNOVTXRBGFNYRX-UHFFFAOYSA-N
CID100000158,PGE2,5,1,158,CCCCCC(C=CC1C(CC(=O)C1CC=CCCCC(=O)O)O)O,XEYBRNLFEZDVAW-UHFFFAOYSA-N
CID100000159,prostacyclin,5,1,159,CCCCCC(C=CC1C(CC2C1CC(=CCCCC(=O)O)O2)O)O,KAQKFAOMNZTLHT-UHFFFAOYSA-N
CID100000160,prostaglandin,0,0,160,CCCCCC(C=CC1C(CC(C1CC=CCCCC(=O)O)O)O)O,PXGPLTODNUVGFL-UHFFFAOYSA-N
CID100000175,acetate,0,0,175,CC(=O)[O-],QTBSBXVTEAMEQO-UHFFFAOYSA-M
CID100000187,acetylcholine,0,0,187,CC(=O)OCC[N+](C)(C)C,OIPILFWXSMYKGL-UHFFFAOYSA-N
CID100000191,adenosine,6,1,191,C1=NC(=C2C(=N1)N(C=N2)C3C(C(C(O3)CO)O)O)N,OIRDTQYFTABQOQ-UHFFFAOYSA-N
CID100000206,glucose,4,1,206,C(C1C(C(C(C(O1)O)O)O)O)O,WQZGKKKJIJFFOK-UHFFFAOYSA-N
CID100000214,PGE1,3,1,214,CCCCCC(C=CC1C(CC(=O)C1CCCCCCC(=O)O)O)O,GMVPRGQOIOIIMI-UHFFFAOYSA-N
CID100000222,ammonia,0,0,222,N,QGZKDVFQNNGYKY-UHFFFAOYSA-N
CID100000232,arginine,1,1,232,C(CC(C(=O)O)N)CN=C(N)N,ODKSFYDXXFIFQN-UHFFFAOYSA-N
CID100000244,benzyl,1,1,244,C1=CC=C(C=C1)CO,WVDDGKGOMKODPV-UHFFFAOYSA-N
CID100000247,betaine,0,0,247,C[N+](C)(C)CC(=O)[O-],KWIUHFFTVRNATP-UHFFFAOYSA-N
